19:32:37:288 [ALWAYS]	GUDE Logging Started
19:32:37:289 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:32:37:289 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:32:37:289 [ERROR]	Initialize resume cache pointer failure
19:32:37:289 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:32:37:289 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:32:38:565 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:32:38:566 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:32:38:566 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:32:38:566 [ERROR]	Initialize resume cache pointer failure
19:32:38:566 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:32:38:566 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
